table0x32.tbl

0x30 0x30 0x35 | a c t
0x30 0x31 0x30 | a d p
0x30 0x32 0x30 | a n n
0x30 0x33 0x30 | a r r
0x30 0x34 0x30 | a r t
0x30 0x35 0x30 | a s g
0x30 0x36 0x30 | a s n
0x30 0x36 0x35 | a u c
0x30 0x37 0x30 | a u t
0x30 0x37 0x32 | a q t
0x30 0x37 0x35 | a f t
0x30 0x38 0x30 | a u i
0x30 0x39 0x30 | a u s
0x31 0x30 0x30 | a n t
0x31 0x31 0x30 | b n d
0x31 0x32 0x30 | b d d
0x31 0x33 0x30 | b k d
0x31 0x34 0x30 | b j d
0x31 0x35 0x30 | b p d
0x31 0x36 0x30 | b s l
0x31 0x37 0x30 | c l l
0x31 0x38 0x30 | c t g
0x31 0x39 0x30 | c n s
0x32 0x30 0x30 | c h r
0x32 0x30 0x35 | c l b
0x32 0x31 0x30 | c m m
0x32 0x31 0x32 | c w t
0x32 0x32 0x30 | c o m
0x32 0x33 0x30 | c m p
0x32 0x34 0x30 | c m t
0x32 0x34 0x35 | c c p
0x32 0x35 0x30 | c n d
0x32 0x35 0x35 | c s p
0x32 0x36 0x30 | c p h
0x32 0x37 0x30 | c r r
0x32 0x37 0x33 | c u r
0x32 0x37 0x35 | d n c
0x32 0x38 0x30 | d t e
0x32 0x39 0x30 | d t o
0x32 0x39 0x35 | d g g
0x33 0x30 0x30 | d r t
0x33 0x30 0x35 | d i s
0x33 0x31 0x30 | d s t
0x33 0x32 0x30 | d n r
0x33 0x33 0x30 | d u b
0x33 0x34 0x30 | e d t
0x33 0x35 0x30 | e g r
0x33 0x36 0x30 | e t r
0x33 0x36 0x35 | e x p
0x33 0x37 0x30 | f l m
0x33 0x38 0x30 | f r g
0x33 0x39 0x30 | f m o
0x34 0x30 0x30 | f n d
0x34 0x31 0x30 | g r t
0x34 0x32 0x30 | h n r
0x34 0x33 0x30 | i l u
0x34 0x34 0x30 | i l l
0x34 0x35 0x30 | i n s
0x34 0x36 0x30 | i v e
0x34 0x37 0x30 | i v r
0x34 0x38 0x30 | l b t
0x34 0x39 0x30 | l s e
0x35 0x30 0x30 | l s o
0x35 0x31 0x30 | l t g
0x35 0x32 0x30 | l y r
0x35 0x33 0x30 | m t e
0x35 0x34 0x30 | m o n
0x35 0x34 0x35 | m u s
0x35 0x35 0x30 | n r t
0x35 0x35 0x35 | o p n
0x35 0x35 0x37 | o r m
0x35 0x36 0x30 | o r g
0x35 0x37 0x30 | o t h
0x35 0x38 0x30 | p p m
0x35 0x38 0x32 | p t a
0x35 0x38 0x34 | i n v
0x35 0x38 0x37 | p t h
0x35 0x39 0x30 | p r f
0x35 0x39 0x35 | r e s
0x36 0x30 0x30 | p h t
0x36 0x31 0x30 | p r t
0x36 0x32 0x30 | p o p
0x36 0x33 0x30 | p r o
0x36 0x33 0x35 | p r g
0x36 0x34 0x30 | p f r
0x36 0x35 0x30 | p b l
0x36 0x35 0x31 | p b d
0x36 0x36 0x30 | r c p
0x36 0x37 0x30 | r c e
0x36 0x37 0x33 | r t h
0x36 0x37 0x35 | r e v
0x36 0x37 0x37 | r t m
0x36 0x38 0x30 | r b r
0x36 0x39 0x30 | s c e
0x36 0x39 0x35 | s a d
0x37 0x30 0x30 | s c r
0x37 0x30 0x35 | s c l
0x37 0x31 0x30 | s e c
0x37 0x32 0x30 | s g n
0x37 0x32 0x31 | s n g
0x37 0x32 0x33 | s p n
0x37 0x32 0x35 | s t n
0x37 0x32 0x37 | t h s
0x37 0x33 0x30 | t r l
0x37 0x34 0x30 | t y d
0x37 0x35 0x30 | t y g
0x37 0x35 0x35 | v o c
0x37 0x36 0x30 | w d e
0x37 0x37 0x30 | w a m
#DEFAULT | XXX
